"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"101458","Allen","Simone","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Sports & Entertainment Marketing I (sem)"", ""Medical Terminology"", ""Fashion Design I"", ""Small Animal Management (sem .5 credit)""]","[81, 83, 86, 87, 69, 70, 68, 72]","vocational school","1123","18","Priya Patel"
"101459","Robinson","Marcus","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Jazz Band IV""]","[92, 83, 85, 92, 87, 95]","4 year college","1177","","Daniel Kim"
"101460","Zhang","Brian","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Oral Interpretation I""]","[80, 86, 89, 80, 82, 89]","2 year college","","27","Melissa Johnson"
"101461","Moore","Andre","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""AP Business with Personal Finance"", ""Technical Theater III""]","[76, 85, 79, 87, 83, 96, 86]","2 year college","","","Robert Nguyen"
"101462","Garcia","Camila","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Technical Theater II""]","[96, 83, 92, 89, 88, 92]","4 year college","1313","32","Emily Garcia"
"101463","Flores","Diego","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Sports & Entertainment Marketing I (sem)"", ""Principles of Agriculture, Food, and Natural Resources"", ""Anatomy & Physiology""]","[86, 74, 86, 72, 87, 76, 73]","4 year college","896","13","Michael Thompson"
"101464","Saleh","Sara","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Baseball-Boys"", ""Dance II"", ""Debate III""]","[75, 76, 66, 72, 61, 65, 81, 70]","workforce","855","13","Sarah Martinez"
"101465","Jefferson","Tre","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Oral Interpretation I"", ""Oral Interpretation III""]","[66, 70, 77, 58, 65, 81, 61]","workforce","","18","James Walker"
"101466","Martinez","Adriana","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Photojournalism (sem)"", ""Band I"", ""Human Growth & Development""]","[80, 78, 84, 80, 78, 84, 80, 81]","vocational school","","25","Priya Patel"
"101467","Park","Wei","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Orchestra III"", ""Audio/Video Production II"", ""Entrepreneurship""]","[90, 88, 75, 88, 92, 97, 85, 83]","4 year college","1211","","Daniel Kim"
"101468","Garcia","Valentina","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Technical Theater II"", ""Debate I"", ""Animation I""]","[89, 89, 90, 82, 90, 96, 98, 92]","4 year college","1294","","Melissa Johnson"
"101469","Liu","Lin","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Photojournalism (sem)"", ""Oral Interpretation II"", ""Architectural Design I""]","[83, 78, 85, 83, 84, 93, 85, 97]","4 year college","1445","","Robert Nguyen"
"101470","Adams","Jaylen","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Chinese III KAP"", ""Counseling & Mental Health"", ""AP Spanish V Literature and Culture"", ""Sports & Entertainment Marketing I (sem)""]","[80, 88, 80, 92, 75, 72, 88, 77]","2 year college","985","","Emily Garcia"
"101471","Rao","Arjun","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Health Science Theory"", ""AP Chinese IV Language and Culture""]","[84, 85, 73, 80, 74, 81, 70]","vocational school","949","","Michael Thompson"
"101472","Williams","Mason","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Entrepreneurship""]","[83, 92, 76, 81, 78, 91]","4 year college","","21","Sarah Martinez"
"101473","Mansour","Dina","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Oral Interpretation III"", ""Band IV"", ""Debate II""]","[93, 94, 93, 87, 98, 97, 88]","4 year college","","35","James Walker"
"101474","Verma","Rohan","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""American Sign Language I"", ""Drawing I""]","[82, 82, 87, 82, 93, 97, 87]","4 year college","1389","27","Priya Patel"
"101475","Murphy","Taylor","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Fashion Design I"", ""Professional Communications (sem)"", ""Principles of Agriculture, Food, and Natural Resources"", ""Dollars and Sense (sem .5 credit)""]","[61, 62, 80, 77, 77, 63, 64, 76]","2 year college","","18","Daniel Kim"
"101476","Jackson","Olivia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Fashion Design I"", ""Sports & Entertainment Marketing II (sem)""]","[85, 80, 84, 90, 84, 83, 87]","workforce","1009","22","Melissa Johnson"
"101477","Richardson","Avery","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""American Sign Language I"", ""Journalism""]","[89, 89, 79, 92, 79, 75]","4 year college","1198","","Robert Nguyen"
"101478","Rahman","Hana","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Entrepreneurship"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""Jazz Band II""]","[77, 77, 72, 74, 84, 78, 75]","4 year college","1107","","Emily Garcia"
"101479","Gutierrez","Natalia","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Jazz Band I"", ""Journalism""]","[86, 80, 81, 88, 95, 97, 87]","4 year college","","","Michael Thompson"
"101480","Brown","Zoe","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Principles of Health Science"", ""Band I"", ""Medical Terminology""]","[92, 90, 92, 74, 86, 84, 82, 78]","4 year college","1009","22","Sarah Martinez"
"101481","Pillai","Kavya","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Debate II"", ""Debate I""]","[91, 75, 75, 86, 92, 73, 89]","workforce","988","20","James Walker"
"101482","Johnson","Evelyn","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Principles of Business, Marketing, & Finance"", ""Choir II"", ""Jazz Band IV""]","[94, 77, 86, 89, 89, 86, 93, 87]","4 year college","1296","","Priya Patel"
"101483","Bennett","Alexis","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""AP Research"", ""Oral Interpretation I"", ""Art I""]","[95, 88, 87, 95, 89, 94, 95, 100]","2 year college","1554","31","Daniel Kim"
"101484","Moore","Mia","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Computer Science - Unity Game Development KAP"", ""AP Spanish V Literature and Culture""]","[87, 90, 92, 88, 91, 77, 87]","4 year college","1243","25","Melissa Johnson"
"101485","Moore","Oliver","12","2023","2027","[""AP English IV Literature & Composition GT"", ""Multivariable Calculus KAP"", ""AP Environmental Science GT"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""AP Research"", ""Animation I""]","[85, 93, 92, 87, 90, 88, 96]","4 year college","1396","32","Robert Nguyen"
"101486","Hassan","Dina","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""PE Basketball-Boys"", ""PE Softball-Girls""]","[79, 76, 89, 77, 90, 72]","4 year college","","19","Emily Garcia"
"101487","Singh","Sanjana","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Chemistry GT"", ""AP US History GT-11th grade only"", ""AP Seminar"", ""Journalism"", ""Spanish II""]","[93, 86, 82, 92, 82, 98, 99]","4 year college","1523","35","Michael Thompson"
"101488","Anderson","William","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""Small Animal Management (sem .5 credit)"", ""AP Computer Science A (Math & LOTE credit)"", ""Principles of Health Science"", ""Fashion Design I""]","[68, 77, 88, 77, 85, 88, 75, 85]","4 year college","1136","","Sarah Martinez"
"101489","Anderson","Isabella","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Animation I"", ""Audio/Video Production II"", ""American Sign Language II""]","[82, 94, 81, 97, 85, 96, 95, 91]","4 year college","1347","32","James Walker"
"101490","Jones","Ava","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""PE Diving"", ""Chinese III KAP"", ""PE Volleyball-Girls""]","[82, 78, 76, 73, 91, 81, 89]","2 year college","","23","Priya Patel"
"101491","Rao","Aryan","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Counseling & Mental Health"", ""Dollars and Sense (sem .5 credit)"", ""Principles of Health Science""]","[77, 80, 72, 91, 79, 90, 88, 84]","4 year college","1020","26","Daniel Kim"
"101492","Ito","Yuki","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Interior Design I"", ""AP Research"", ""Jazz Band I""]","[88, 87, 92, 98, 95, 86, 91]","4 year college","1439","33","Melissa Johnson"
"101493","Thompson","Isabella","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Jazz Band II"", ""Debate I"", ""Theater Arts I"", ""Professional Communications (sem)""]","[92, 92, 93, 85, 93, 96, 83, 91]","4 year college","","","Robert Nguyen"
"101494","Davis","Harper","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Audio/Video Production I"", ""Oral Interpretation II""]","[86, 93, 86, 89, 91, 94]","4 year college","","","Emily Garcia"
"101495","Lopez","Eduardo","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Advanced Animal Science (Science credit)"", ""Floral Design (Fine Art Credit)""]","[70, 61, 64, 70, 79, 62, 66]","workforce","","20","Michael Thompson"
"101496","Kumar","Raj","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Counseling & Mental Health"", ""PE Diving""]","[63, 64, 71, 74, 61, 77]","2 year college","812","","Sarah Martinez"
"101497","Thompson","Imani","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Debate I"", ""Oral Interpretation I""]","[89, 92, 88, 82, 90, 95]","4 year college","","31","James Walker"
"101498","Rashid","Fatima","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Swimming"", ""Principles of Business, Marketing, & Finance"", ""Spanish III""]","[88, 87, 91, 92, 73, 84, 82, 72]","4 year college","1056","23","Priya Patel"
"101499","Miller","Isabella","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""French III KAP"", ""AP Spanish V Literature and Culture""]","[93, 88, 86, 89, 87, 80]","4 year college","1320","","Daniel Kim"
"101500","Robinson","Simone","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Health Science Theory"", ""Lifetime Fitness & Wellness Pursuits (Boys)"", ""PE Swimming"", ""PE Soccer-Girls""]","[82, 64, 60, 64, 68, 56, 76, 71]","vocational school","","15","Melissa Johnson"
"101501","Jackson","Malik","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""AP Business with Personal Finance"", ""Audio/Video Production I"", ""Architectural Design I"", ""Computer Science - Unity Game Development KAP""]","[89, 84, 77, 85, 90, 88, 94, 90]","4 year college","","","Robert Nguyen"
"101502","Robinson","Noah","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Band IV"", ""Technical Theater II""]","[95, 78, 85, 89, 95, 82, 95]","4 year college","","","Emily Garcia"
"101503","Nakamura","Mei","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Oral Interpretation II"", ""Art I""]","[88, 90, 94, 81, 88, 100]","4 year college","","","Michael Thompson"
"101504","Jackson","Lucas","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Oral Interpretation I"", ""Professional Communications (sem)""]","[80, 92, 79, 87, 86, 90, 82]","workforce","","22","Sarah Martinez"
"101505","Bhatia","Aarav","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Counseling & Mental Health"", ""Health Science Theory"", ""Photojournalism (sem)""]","[77, 77, 82, 89, 81, 85, 86, 90]","4 year college","946","","James Walker"
"101506","Mehta","Nisha","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Debate I"", ""Professional Communications (sem)"", ""Chinese I""]","[87, 80, 90, 90, 91, 73, 76, 73]","4 year college","1260","29","Priya Patel"
"101507","Lewis","Olivia","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Engineering Design & Presentation I"", ""Peer Assistance Leadership II (application required)""]","[90, 91, 92, 96, 98, 97]","4 year college","1472","32","Daniel Kim"
"101508","Singh","Ishaan","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Financial Mathematics (Math credit)"", ""Spanish I""]","[84, 79, 78, 80, 85, 74]","4 year college","","24","Melissa Johnson"
"101509","Watanabe","Hana","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Foundations of Business Communication and Technologies"", ""Photojournalism (sem)"", ""Principles of Business, Marketing, & Finance""]","[96, 94, 86, 89, 93, 91, 91, 84]","4 year college","1254","","Robert Nguyen"
"101510","Torres","Alex","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Foundations of Business Communication and Technologies"", ""Health Science Theory"", ""Medical Terminology"", ""Choir IV""]","[85, 87, 85, 87, 86, 86, 86, 79]","4 year college","1095","25","Emily Garcia"
"101511","Joshi","Arjun","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Human Growth & Development"", ""Technical Theater III"", ""PE Football-Boys"", ""PE Volleyball-Girls""]","[68, 75, 62, 74, 66, 67, 62, 63]","4 year college","937","14","Michael Thompson"
"101512","Rodriguez","Gabriela","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Principles of Health Science"", ""Chinese I""]","[80, 72, 85, 76, 85, 72, 84]","workforce","974","","Sarah Martinez"
"101513","Abdullah","Dina","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Debate III"", ""French III KAP""]","[76, 86, 90, 86, 79, 73, 73]","workforce","","23","James Walker"
"101514","Sharma","Nisha","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Orchestra III"", ""Debate III""]","[77, 89, 80, 88, 89, 91, 74]","vocational school","1221","29","Priya Patel"
"101515","Malhotra","Riya","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Oral Interpretation II"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP""]","[90, 89, 82, 89, 93, 87, 89]","4 year college","1369","","Daniel Kim"
"101516","Rao","Pooja","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Track-Girls"", ""Jazz Band IV""]","[81, 84, 86, 73, 91, 79, 85]","2 year college","1248","25","Melissa Johnson"
"101517","Jefferson","Zoe","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""AP Chinese IV Language and Culture"", ""Theater Arts II""]","[95, 88, 94, 85, 75, 85, 94]","4 year college","1279","27","Robert Nguyen"
"101518","Pillai","Nisha","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Photojournalism (sem)"", ""Journalism"", ""PE Tennis"", ""Sports & Entertainment Marketing II (sem)""]","[74, 83, 83, 86, 75, 82, 83, 85]","4 year college","961","18","Emily Garcia"
"101519","Jefferson","Simone","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Oral Interpretation III"", ""Photojournalism (sem)""]","[85, 75, 74, 79, 78, 90]","4 year college","1016","","Michael Thompson"
"101520","Pillai","Riya","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Painting I""]","[92, 87, 83, 89, 95, 88]","4 year college","","25","Sarah Martinez"
"101521","Martinez","Mateo","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Chinese II"", ""Professional Communications (sem)"", ""Band I""]","[83, 93, 94, 78, 94, 88, 85, 84]","4 year college","1357","28","James Walker"
"101522","Qureshi","Fatima","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Choir I"", ""Chinese II""]","[83, 88, 83, 90, 93, 94]","4 year college","1248","","Priya Patel"
"101523","Patel","Riya","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Dance II"", ""Band II"", ""Orchestra I""]","[65, 80, 72, 61, 78, 70, 65, 78]","4 year college","852","17","Daniel Kim"
"101524","Aziz","Rania","12","2023","2027","[""AP English IV Literature & Composition GT"", ""AP Calculus BC/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Chinese II"", ""Oral Interpretation III"", ""Debate I""]","[89, 91, 90, 98, 87, 96, 100, 89]","2 year college","1588","","Melissa Johnson"
"101525","Hamid","Hassan","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""French II"", ""Drawing I"", ""Debate III"", ""Oral Interpretation III""]","[79, 81, 81, 90, 89, 97, 93, 88]","4 year college","1201","26","Robert Nguyen"
"101526","Flores","Daniela","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Financial Mathematics (Math credit)""]","[73, 79, 73, 83, 84, 88]","4 year college","951","13","Emily Garcia"
"101527","Murphy","Hayden","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Debate III""]","[63, 72, 72, 61, 56, 78]","vocational school","","","Michael Thompson"
"101528","Yamamoto","Daniel","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Audio/Video Production II"", ""AP Research"", ""Professional Communications (sem)""]","[84, 84, 94, 99, 90, 93, 96]","4 year college","1577","31","Sarah Martinez"
"101529","Aziz","Lina","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Painting I"", ""Counseling & Mental Health"", ""Lifetime Fitness & Wellness Pursuits (Boys)"", ""Photojournalism (sem)""]","[78, 67, 75, 67, 79, 68, 79, 70]","workforce","836","17","James Walker"
"101530","Coleman","Casey","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Computer Science I (LOTE credit)"", ""Audio/Video Production II""]","[81, 95, 95, 94, 99, 96]","4 year college","1301","32","Priya Patel"
"101531","Ahmed","Yasmin","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Band I""]","[80, 74, 75, 69, 68, 71]","4 year college","856","12","Daniel Kim"
"101532","Li","Ying","12","2023","2027","[""English IV"", ""Statistics"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Health Education (sem)"", ""PE Football-Boys""]","[90, 92, 72, 83, 84, 82, 87]","4 year college","1019","25","Melissa Johnson"
"101533","Malhotra","Pooja","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Journalism"", ""Financial Mathematics (Math credit)""]","[84, 94, 78, 87, 85, 87, 92]","vocational school","","","Robert Nguyen"
"101534","Bailey","Morgan","12","2023","2027","[""English IV"", ""Statistics"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Foundations of Business Communication and Technologies"", ""Principles of Health Science""]","[90, 82, 88, 73, 81, 72, 74]","4 year college","1117","","Emily Garcia"
"101535","Torres","Sam","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Debate III""]","[89, 87, 97, 94, 99, 95]","4 year college","","36","Michael Thompson"
"101536","Baker","Aaliyah","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Physics I GT"", ""AP US History GT-11th grade only"", ""AP Computer Science Principles (LOTE credit)"", ""Oral Interpretation I"", ""Jazz Band III""]","[91, 89, 82, 94, 96, 93, 98]","4 year college","","","Sarah Martinez"
"101537","Saleh","Layla","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Photojournalism (sem)"", ""American Sign Language II"", ""Social Media Marketing (sem)""]","[91, 91, 90, 73, 79, 76, 79, 89]","4 year college","1149","25","James Walker"
"101538","Tanaka","Yuna","12","2023","2027","[""English IV"", ""Accounting II"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Principles of Health Science""]","[76, 62, 74, 75, 82, 71]","vocational school","936","16","Priya Patel"
"101539","Ahmed","Hana","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""Anatomy & Physiology"", ""Dollars and Sense (sem .5 credit)"", ""Principles of Health Science"", ""Chinese I""]","[84, 79, 88, 77, 72, 87, 75, 83]","4 year college","1206","","Daniel Kim"
"101540","Lopez","Natalia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Tennis"", ""PE Golf (Boys/Girls)""]","[74, 90, 76, 89, 89, 91, 76]","4 year college","1036","","Melissa Johnson"
"101541","Suzuki","Kevin","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Computer Science I (LOTE credit)"", ""Animation I""]","[89, 96, 83, 95, 94, 92]","2 year college","1338","","Robert Nguyen"
"101542","Verma","Raj","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""AP Art History"", ""Professional Communications (sem)"", ""Debate II""]","[87, 81, 80, 82, 92, 85, 85]","4 year college","1321","28","Emily Garcia"
"101543","Jackson","Jaylen","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Journalism"", ""Interpersonal Studies (sem .5 credit)"", ""Foundations of Business Communication and Technologies"", ""Sports & Entertainment Marketing II (sem)""]","[78, 88, 78, 74, 90, 79, 80, 85]","4 year college","950","","Michael Thompson"
"101544","Jefferson","Malik","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""French I"", ""Business Law for Real Estate"", ""American Sign Language I""]","[91, 83, 76, 80, 82, 86, 73, 82]","2 year college","","21","Sarah Martinez"
"101545","Bennett","Drew","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Health Science Theory"", ""Lifetime Fitness & Wellness Pursuits (Girls)"", ""PE Football-Boys""]","[88, 84, 77, 88, 92, 84, 90]","workforce","1048","20","James Walker"
"101546","Garcia","Mateo","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Chinese II"", ""Principles of Business, Marketing, & Finance"", ""Entrepreneurship""]","[75, 91, 76, 77, 90, 80, 74, 77]","4 year college","1279","","Priya Patel"
"101547","Rashid","Fatima","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Oral Interpretation III"", ""Photojournalism (sem)""]","[82, 88, 90, 80, 93, 94, 89]","4 year college","","24","Daniel Kim"
"101548","Zhang","Daniel","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Sports & Entertainment Marketing I (sem)"", ""Debate II"", ""Chinese II"", ""Jazz Band II""]","[86, 93, 93, 87, 92, 94, 91, 88]","4 year college","","","Melissa Johnson"
"101549","Harris","Devon","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Business with Personal Finance"", ""PE Softball-Girls"", ""Anatomy & Physiology""]","[84, 78, 74, 84, 78, 79, 89, 81]","workforce","972","18","Robert Nguyen"
